project,bug,cornTotal,corn2,cornN,cornIN,isCorn
jdt,484361,1,1,0,0,0
jdt,510467,1,1,0,0,0
jdt,479134,1,1,0,0,0
jdt,510002,1,1,0,0,0
jdt,479119,1,1,0,0,0
jdt,522328,1,1,0,0,0
jdt,133005,1,1,0,0,0
jdt,466556,1,1,0,0,0
jdt,428352,1,1,0,0,0
jdt,487716,1,1,0,0,0
jdt,526615,1,1,0,0,0
jdt,487586,1,1,0,0,0
jdt,500265,1,1,0,0,0
jdt,423987,1,1,0,0,0
jdt,419918,1,1,0,0,0
jdt,96918,1,1,0,0,0
jdt,509994,1,1,0,0,0
jdt,428526,1,1,0,0,0
jdt,365437,1,1,0,0,0
jdt,31652,1,1,0,0,0
jdt,527531,1,1,0,0,0
jdt,463330,1,1,0,0,0
jdt,421165,1,1,0,0,0
jdt,434600,1,1,0,0,0
jdt,399780,1,1,0,0,0
jdt,145367,1,1,0,0,0
jdt,145329,1,1,0,0,0
p2,268138,1,1,0,0,0
p2,219214,1,1,0,0,0
p2,304843,1,1,0,0,0
p2,290973,1,1,0,0,0
p2,387115,1,1,0,0,0
p2,233027,1,1,0,0,0
p2,204347,1,1,0,0,0
p2,235288,1,1,0,0,0
p2,284798,1,1,0,0,0
p2,525654,1,1,0,0,0
p2,219825,1,1,0,0,0
p2,232094,1,1,0,0,0
p2,291748,1,1,0,0,0
p2,233201,1,1,0,0,0
p2,525709,1,1,0,0,0
p2,270323,1,1,0,0,0
p2,287558,1,1,0,0,0
p2,224269,1,1,0,0,0
p2,212662,1,1,0,0,0
p2,211934,1,1,0,0,0
p2,221513,1,1,0,0,0
p2,227372,1,1,0,0,0
p2,217942,1,1,0,0,0
p2,214704,1,1,0,0,0
p2,345209,1,1,0,0,0
p2,275975,1,1,0,0,0
p2,179317,1,1,0,0,0
p2,209852,1,1,0,0,0
p2,514863,1,1,0,0,0
p2,272483,1,1,0,0,0
p2,229689,1,1,0,0,0
p2,263546,1,1,0,0,0
p2,204290,1,1,0,0,0
p2,255858,1,1,0,0,0
p2,227042,1,1,0,0,0
p2,181297,1,1,0,0,0
p2,228903,1,1,0,0,0
p2,241477,1,1,0,0,0
p2,225250,1,1,0,0,0
p2,272795,1,1,0,0,0
p2,211922,1,1,0,0,0
p2,335414,1,1,0,0,0
p2,344851,1,1,0,0,0
p2,289866,1,1,0,0,0
p2,232632,1,1,0,0,0
swt,520983,1,1,0,0,0
swt,518542,1,1,0,0,0
swt,79391,1,1,0,0,0
swt,476529,1,1,0,0,0
swt,490853,1,1,0,0,0
jdt,392245,0,0,0,0,0
jdt,261600,0,0,0,0,0
jdt,421897,0,0,0,0,0
jdt,401769,0,0,0,0,0
jdt,427626,0,0,0,0,0
jdt,425798,0,0,0,0,0
jdt,401847,0,0,0,0,0
jdt,418743,0,0,0,0,0
jdt,382353,0,0,0,0,0
jdt,473657,0,0,0,0,0
jdt,519963,0,0,0,0,0
jdt,415308,0,0,0,0,0
jdt,519673,0,0,0,0,0
jdt,421628,0,0,0,0,0
jdt,22072,0,0,0,0,0
jdt,405134,0,0,0,0,0
jdt,484114,0,0,0,0,0
jdt,177174,0,0,0,0,0
jdt,518794,0,0,0,0,0
jdt,418599,0,0,0,0,0
jdt,474239,0,0,0,0,0
jdt,178138,0,0,0,0,0
jdt,176132,0,0,0,0,0
jdt,516731,0,0,0,0,0
jdt,406973,0,0,0,0,0
jdt,287164,0,0,0,0,0
jdt,429430,0,0,0,0,0
jdt,516377,0,0,0,0,0
jdt,425183,0,0,0,0,0
jdt,437072,0,0,0,0,0
jdt,25928,0,0,0,0,0
jdt,414761,0,0,0,0,0
jdt,521362,0,0,0,0,0
jdt,401030,0,0,0,0,0
jdt,520995,0,0,0,0,0
jdt,430136,0,0,0,0,0
jdt,3243,0,0,0,0,0
jdt,448914,0,0,0,0,0
jdt,403132,0,0,0,0,0
jdt,378674,0,0,0,0,0
jdt,365531,0,0,0,0,0
jdt,265744,0,0,0,0,0
jdt,403086,0,0,0,0,0
jdt,496142,0,0,0,0,0
jdt,148115,0,0,0,0,0
jdt,402993,0,0,0,0,0
jdt,232880,0,0,0,0,0
jdt,509612,0,0,0,0,0
jdt,210521,0,0,0,0,0
jdt,519151,0,0,0,0,0
jdt,493222,0,0,0,0,0
jdt,371832,0,0,0,0,0
jdt,90612,0,0,0,0,0
jdt,386692,0,0,0,0,0
jdt,388281,0,0,0,0,0
jdt,520795,0,0,0,0,0
jdt,500503,0,0,0,0,0
jdt,446442,0,0,0,0,0
jdt,345305,0,0,0,0,0
jdt,421473,0,0,0,0,0
jdt,497355,0,0,0,0,0
jdt,261973,0,0,0,0,0
jdt,441726,0,0,0,0,0
jdt,382069,0,0,0,0,0
jdt,405517,0,0,0,0,0
jdt,409236,0,0,0,0,0
jdt,428795,0,0,0,0,0
jdt,511949,0,0,0,0,0
jdt,383913,0,0,0,0,0
jdt,28268,0,0,0,0,0
jdt,424198,0,0,0,0,0
jdt,447573,0,0,0,0,0
jdt,297825,0,0,0,0,0
jdt,507795,0,0,0,0,0
jdt,509366,0,0,0,0,0
jdt,507061,0,0,0,0,0
jdt,402831,0,0,0,0,0
jdt,485988,0,0,0,0,0
jdt,455723,0,0,0,0,0
jdt,381172,0,0,0,0,0
jdt,401610,0,0,0,0,0
jdt,83548,0,0,0,0,0
jdt,449262,0,0,0,0,0
jdt,426462,0,0,0,0,0
jdt,349326,0,0,0,0,0
jdt,434483,0,0,0,0,0
jdt,372012,0,0,0,0,0
jdt,416182,0,0,0,0,0
jdt,511574,0,0,0,0,0
jdt,405071,0,0,0,0,0
jdt,188559,0,0,0,0,0
jdt,365519,0,0,0,0,0
jdt,395002,0,0,0,0,0
jdt,415291,0,0,0,0,0
jdt,388996,0,0,0,0,0
jdt,447579,0,0,0,0,0
jdt,421017,0,0,0,0,0
jdt,394768,0,0,0,0,0
jdt,399537,0,0,0,0,0
jdt,400761,0,0,0,0,0
jdt,383908,0,0,0,0,0
jdt,407297,0,0,0,0,0
jdt,416307,0,0,0,0,0
jdt,24127,0,0,0,0,0
jdt,506438,0,0,0,0,0
jdt,511814,0,0,0,0,0
jdt,403810,0,0,0,0,0
jdt,403410,0,0,0,0,0
jdt,520329,0,0,0,0,0
jdt,417113,0,0,0,0,0
jdt,421035,0,0,0,0,0
jdt,512791,0,0,0,0,0
jdt,457079,0,0,0,0,0
jdt,382727,0,0,0,0,0
jdt,342598,0,0,0,0,0
jdt,399770,0,0,0,0,0
jdt,79752,0,0,0,0,0
jdt,446317,0,0,0,0,0
jdt,80839,0,0,0,0,0
jdt,510053,0,0,0,0,0
jdt,385780,0,0,0,0,0
jdt,417803,0,0,0,0,0
jdt,404986,0,0,0,0,0
