Project,IssueID,Lambda,Upsilon,Domino,Cyclic
p2,205223,0,0,0,0
p2,205232,0,0,0,0
p2,205447,0,0,0,0
p2,205544,0,0,0,0
p2,206077,0,0,0,0
p2,206088,0,0,0,0
p2,206202,1,1,0,0
p2,206388,0,0,0,0
p2,206898,0,0,0,0
p2,207220,0,0,0,0
p2,207493,0,0,0,0
p2,207513,0,0,0,0
p2,207802,0,0,0,0
p2,207976,0,0,0,0
p2,207978,0,0,0,0
p2,208003,0,0,0,0
p2,208111,0,0,0,0
p2,208251,0,0,0,0
p2,208294,0,0,0,0
p2,208307,0,0,0,0
p2,208439,0,0,0,0
p2,208601,0,0,0,0
p2,208965,0,0,0,0
p2,209261,0,0,0,0
p2,209366,0,0,0,0
p2,209541,0,0,0,0
p2,209549,0,0,0,0
p2,209576,0,0,0,0
p2,209680,0,0,0,0
p2,209852,0,0,0,0
p2,209992,0,0,0,0
p2,210006,0,0,0,0
p2,210418,0,0,0,0
p2,210450,0,0,0,0
p2,210462,0,0,0,0
p2,210585,0,0,0,0
p2,210670,0,0,0,0
p2,210685,0,0,0,0
p2,210986,0,0,0,0
p2,211102,0,0,0,0
p2,211650,0,0,0,0
p2,211679,0,0,0,0
p2,211922,0,0,0,0
p2,211934,0,0,0,0
p2,212047,0,0,0,0
p2,212058,0,0,0,0
p2,212295,0,0,0,0
p2,212334,0,0,0,0
p2,212336,0,0,0,0
p2,212348,0,0,0,0
p2,212461,0,0,0,0
p2,212607,0,0,0,0
p2,212644,0,0,0,0
p2,212662,0,0,0,0
p2,212898,0,0,0,0
p2,213602,0,0,0,0
p2,214135,0,0,0,0
p2,214391,0,0,0,0
p2,214524,0,0,0,0
p2,214640,0,0,0,0
p2,214691,0,0,0,0
p2,214694,0,0,0,0
p2,214704,0,0,0,0
p2,214705,0,0,0,0
p2,214782,0,0,0,0
p2,214937,0,0,0,0
p2,215103,0,0,0,0
p2,215406,0,0,0,0
p2,215560,0,0,0,0
p2,215924,0,0,0,0
p2,215927,0,0,0,0
p2,215930,0,0,0,0
p2,216026,0,0,0,0
p2,216028,0,0,0,0
p2,216044,0,0,0,0
p2,216193,0,0,0,0
p2,216278,0,0,0,0
p2,216433,0,0,0,0
p2,217001,0,0,0,0
p2,217100,0,0,0,0
p2,217272,0,0,0,0
p2,217744,0,0,0,0
p2,217748,0,0,0,0
p2,217927,0,0,0,0
p2,217942,0,0,0,0
p2,218232,0,0,0,0
p2,218252,0,0,0,0
p2,218451,0,0,0,0
p2,218532,0,0,0,0
p2,218623,0,0,0,0
p2,218639,0,0,0,0
p2,218649,0,0,0,0
p2,218741,0,0,0,0
p2,219109,0,0,0,0
p2,219214,0,0,0,0
p2,219224,0,0,0,0
p2,219477,0,0,0,0
p2,219605,0,0,0,0
p2,219825,0,0,0,0
p2,219962,0,0,0,0
p2,220125,0,0,0,0
p2,220280,0,0,0,0
p2,220554,0,0,0,0
p2,220605,0,0,0,0
p2,220786,0,0,0,0
p2,220854,0,0,0,0
p2,221031,0,0,0,0
p2,221087,0,0,0,0
p2,221256,0,0,0,0
p2,221513,0,0,0,0
p2,221710,0,0,0,0
p2,221727,0,0,0,0
p2,222156,0,0,0,0
p2,222309,0,0,0,0
p2,222445,0,0,0,0
p2,222480,0,0,0,0
p2,222498,0,0,0,0
p2,222501,0,0,0,0
p2,222563,0,0,0,0
p2,222565,0,0,0,0
p2,222567,0,0,0,0
p2,222621,0,0,0,0
p2,222639,0,0,0,0
p2,222870,0,0,0,0
p2,222957,0,0,0,0
p2,223128,0,0,0,0
p2,223341,0,0,0,0
p2,223423,0,0,0,0
p2,223447,0,0,0,0
p2,224004,0,0,0,0
p2,224150,0,0,0,0
p2,224269,0,0,0,0
p2,224445,0,0,0,0
p2,224472,0,0,0,0
p2,224482,0,0,0,0
p2,224504,0,0,0,0
p2,224999,0,0,0,0
p2,225018,0,0,0,0
p2,225250,0,0,0,0
p2,225324,0,0,0,0
p2,225755,0,0,0,0
p2,226116,0,0,0,0
p2,226528,0,0,0,0
p2,227042,0,0,0,0
p2,227220,0,0,0,0
p2,227372,0,0,0,0
p2,227582,0,0,0,0
p2,227784,0,0,0,0
p2,227817,0,0,0,0
p2,228046,0,0,0,0
p2,228272,0,0,0,0
p2,228481,0,0,0,0
p2,228523,0,0,0,0
p2,228903,0,0,0,0
p2,228999,0,0,0,0
p2,229066,0,0,0,0
p2,229183,0,0,0,0
p2,229305,0,0,0,0
p2,229342,0,0,0,0
p2,229641,0,0,0,0
p2,229689,0,0,0,0
p2,229877,0,0,0,0
p2,230253,0,0,0,0
p2,230314,0,0,0,0
p2,230508,0,0,0,0
p2,231138,0,0,0,0
p2,231590,0,0,0,0
p2,232094,0,0,0,0
p2,232329,0,0,0,0
p2,232413,0,0,0,0
p2,232440,0,0,0,0
p2,232632,0,0,0,0
p2,233027,0,0,0,0
p2,233198,0,0,0,0
p2,233201,0,0,0,0
p2,233699,0,0,0,0
p2,233761,0,0,0,0
p2,234016,0,0,0,0
p2,234036,0,0,0,0
p2,234154,0,0,0,0
p2,235288,0,0,0,0
p2,235526,0,0,0,0
p2,235652,0,0,0,0
p2,241477,1,1,0,0
p2,242007,0,0,0,0
p2,242457,0,0,0,0
p2,242768,0,0,0,0
p2,244628,0,0,0,0
p2,247058,0,0,0,0
p2,247377,0,0,0,0
p2,247524,0,0,0,0
p2,248783,0,0,0,0
p2,248951,0,0,0,0
p2,249133,0,0,0,0
p2,249996,0,0,0,0
p2,250184,0,0,0,0
p2,250188,0,0,0,0
p2,250316,0,0,0,0
p2,250452,0,0,0,0
p2,250457,0,0,0,0
p2,250680,0,0,0,0
p2,250862,0,0,0,0
p2,250883,0,0,0,0
p2,251015,0,0,0,0
p2,252685,0,0,0,0
p2,252690,0,0,0,0
p2,252694,0,0,0,0
p2,252890,0,0,0,0
p2,253224,0,0,0,0
p2,253782,0,0,0,0
p2,254931,0,0,0,0
p2,255678,0,0,0,0
p2,255724,0,0,0,0
p2,255858,0,0,0,0
p2,255913,0,0,0,0
p2,255984,0,0,0,0
p2,256037,0,0,0,0
p2,256361,0,0,0,0
p2,256364,0,0,0,0
p2,256412,0,0,0,0
p2,256650,0,0,0,0
p2,257431,0,0,0,0
p2,258105,0,0,0,0
p2,258132,0,0,0,0
p2,258539,0,0,0,0
p2,258722,0,0,0,0
p2,259598,0,0,0,0
p2,259792,0,0,0,0
p2,259800,0,0,0,0
p2,260012,0,0,0,0
p2,260066,0,0,0,0
p2,260625,0,0,0,0
p2,260752,0,0,0,0
p2,260913,0,0,0,0
p2,260950,0,0,0,0
p2,261403,0,0,0,0
p2,261637,0,0,0,0
p2,261928,0,0,0,0
p2,262109,0,0,0,0
p2,262243,0,0,0,0
p2,262298,0,0,0,0
p2,262333,0,0,0,0
p2,262503,0,0,0,0
p2,262611,0,0,0,0
p2,263272,0,0,0,0
p2,263487,0,0,0,0
p2,263546,0,0,0,0
p2,263593,0,0,0,0
p2,264042,0,0,0,0
p2,264110,0,0,0,0
p2,264389,0,0,0,0
p2,264570,0,0,0,0
p2,264724,0,0,0,0
p2,264769,0,0,0,0
p2,265217,0,0,0,0
p2,265315,0,0,0,0
p2,265550,0,0,0,0
p2,266939,0,0,0,0
p2,268138,0,0,0,0
p2,268205,0,0,0,0
p2,268884,0,0,0,0
p2,269496,0,0,0,0
p2,269720,0,0,0,0
p2,269978,0,0,0,0
p2,270323,0,0,0,0
p2,270542,0,0,0,0
p2,270668,0,0,0,0
p2,271342,0,0,0,0
p2,272066,0,0,0,0
p2,272336,0,0,0,0
p2,272386,0,0,0,0
p2,272483,0,0,0,0
p2,272795,0,0,0,0
p2,272954,0,0,0,0
p2,273177,0,0,0,0
p2,273668,0,0,0,0
p2,273674,0,0,0,0
p2,274011,0,0,0,0
p2,274025,0,0,0,0
p2,274096,0,0,0,0
p2,274272,0,0,0,0
p2,274319,0,0,0,0
p2,274569,0,0,0,0
p2,275089,0,0,0,0
p2,275404,0,0,0,0
p2,275975,0,0,0,0
p2,279015,0,0,0,0
p2,279309,0,0,0,0
p2,284798,0,0,0,0
p2,287558,0,0,0,0
p2,289866,0,0,0,0
p2,290206,0,0,0,0
p2,290207,0,0,0,0
p2,290973,0,0,0,0
p2,291620,0,0,0,0
p2,291696,0,0,0,0
p2,291748,0,0,0,0
p2,293340,0,0,0,0
p2,294691,0,0,0,0
p2,295399,0,0,0,0
p2,297253,0,0,0,0
p2,297255,0,0,0,0
p2,297259,0,0,0,0
p2,299586,0,0,0,0
p2,299818,0,0,0,0
p2,299917,0,0,0,0
p2,300132,0,0,0,0
p2,300240,0,0,0,0
p2,300450,0,0,0,0
p2,300860,0,0,0,0
p2,300928,0,0,0,0
p2,301292,0,0,0,0
p2,301305,0,0,0,0
p2,301658,0,0,0,0
p2,301903,0,0,0,0
p2,302183,0,0,0,0
p2,302201,0,0,0,0
p2,302278,0,0,0,0
p2,302283,0,0,0,0
p2,302990,0,0,0,0
p2,303128,0,0,0,0
p2,303264,0,0,0,0
p2,303269,0,0,0,0
p2,303990,0,0,0,0
p2,304130,0,0,0,0
p2,304280,0,0,0,0
p2,304843,0,0,0,0
p2,304895,0,0,0,0
p2,304942,0,0,0,0
p2,305031,0,0,0,0
p2,305064,0,0,0,0
p2,305069,0,0,0,0
p2,305237,0,0,0,0
p2,305334,0,0,0,0
p2,306279,0,0,0,0
p2,306439,0,0,0,0
p2,309539,0,0,0,0
p2,309873,0,0,0,0
p2,309874,0,0,0,0
p2,310206,0,0,0,0
p2,310667,0,0,0,0
p2,311475,0,0,0,0
p2,313447,0,0,0,0
p2,313553,0,0,0,0
p2,316916,0,0,0,0
p2,320613,0,0,0,0
p2,321819,0,0,0,0
p2,322477,0,0,0,0
p2,324355,0,0,0,0
p2,324873,0,0,0,0
p2,325095,0,0,0,0
p2,325611,0,0,0,0
p2,329386,0,0,0,0
p2,330338,0,0,0,0
p2,331683,0,0,0,0
p2,332314,0,0,0,0
p2,334519,0,0,0,0
p2,335414,0,0,0,0
p2,336246,0,0,0,0
p2,341737,0,1,0,0
p2,342661,0,0,0,0
p2,343329,0,0,0,0
p2,344851,0,0,0,0
p2,345209,0,0,0,0
p2,358842,0,0,0,0
p2,369834,0,0,0,0
p2,381673,0,0,0,0
p2,384646,0,0,0,0
p2,387115,0,0,0,0
p2,396420,0,0,0,0
p2,397183,0,0,0,0
p2,398853,1,1,0,0
p2,400854,0,0,0,0
p2,406984,0,0,0,0
p2,406986,0,0,0,0
p2,407099,0,0,0,0
p2,407115,0,0,0,0
p2,418662,1,1,0,0
p2,421798,0,0,0,0
p2,421935,1,1,1,0
p2,422026,0,0,0,0
p2,422054,0,0,0,0
p2,423628,0,0,0,0
p2,431116,1,0,0,0
p2,432634,0,0,0,0
p2,436872,0,0,0,0
p2,460627,0,0,0,0
p2,460967,0,0,0,0
p2,466249,0,0,0,0
p2,486279,0,0,0,0
p2,488504,0,0,0,0
p2,489706,0,0,0,0
p2,495726,0,0,0,0
p2,498116,0,0,0,0
p2,514863,0,0,0,0
p2,514885,0,0,0,0
p2,516095,0,0,0,0
p2,518031,0,0,0,0
p2,518574,0,0,0,0
p2,521075,0,0,0,0
